state,total_updates
100000,2
Andaman & Nicobar Islands,384
Andaman and Nicobar Islands,905
Andhra Pradesh,154753
Arunachal Pradesh,3608
Assam,47408
BALANAGAR,1
Bihar,74539
Chandigarh,1536
Chhatisgarh,2
Chhattisgarh,27286
Dadra & Nagar Haveli,72
Dadra and Nagar Haveli,252
Dadra and Nagar Haveli and Daman and Diu,407
Daman & Diu,200
Daman and Diu,319
Darbhanga,1
Delhi,8066
Goa,4609
Gujarat,75161
Haryana,22341
Himachal Pradesh,21940
Jaipur,1
Jammu & Kashmir,277
Jammu and Kashmir,15738
Jharkhand,31245
Karnataka,120416
Kerala,82186
Ladakh,672
Lakshadweep,410
Madanapalle,1
Madhya Pradesh,60157
Maharashtra,126303
Manipur,5744
Meghalaya,4180
Mizoram,3010
Nagaland,3109
Nagpur,1
ODISHA,26
Odisha,71729
Orissa,10731
Pondicherry,1699
Puducherry,2111
Punjab,38097
Puttenahalli,1
Raja Annamalai Puram,1
Rajasthan,68455
Sikkim,2452
Tamil Nadu,153333
Telangana,70098
Tripura,6968
Uttar Pradesh,132366
Uttarakhand,17710
Uttaranchal,3
WEST BENGAL,44
WESTBENGAL,35
West  Bengal,61
West Bangal,96
West Bengal,124694
West Bengli,2
West bengal,30
Westbengal,58
andhra pradesh,37
odisha,12
west Bengal,8
